Date,Open,High,Low,Close,Volume,Open Interest
2018-04-17,31272.0,31396.0,31190.0,31383.0,9237.0,8491.0
2018-04-18,31350.0,31591.0,31291.0,31534.0,8620.0,8994.0
2018-04-19,31567.0,31620.0,31430.0,31598.0,7681.0,8808.0
2018-04-20,31522.0,31564.0,31396.0,31432.0,6398.0,8462.0
2018-04-23,31370.0,31385.0,31211.0,31277.0,7648.0,7878.0
2018-04-24,31257.0,31395.0,31203.0,31372.0,7114.0,7750.0
2018-04-25,31417.0,31430.0,31329.0,31406.0,6602.0,8012.0
2018-04-26,31332.0,31372.0,31183.0,31252.0,7398.0,7582.0
2018-04-27,31166.0,31277.0,31126.0,31211.0,5432.0,7663.0
2018-04-30,31170.0,31170.0,30925.0,31036.0,9301.0,7494.0
2018-05-01,30950.0,30971.0,30865.0,30929.0,5119.0,7486.0
2018-05-02,31014.0,31014.0,30901.0,30925.0,7048.0,7540.0
2018-05-03,30941.0,31122.0,30878.0,31046.0,8817.0,7290.0
2018-05-04,31020.0,31139.0,30990.0,31114.0,6801.0,7066.0
2018-05-08,31228.0,31252.0,31078.0,31210.0,8196.0,6851.0
2018-05-09,31250.0,31375.0,31163.0,31309.0,9171.0,6479.0
2018-05-10,31353.0,31487.0,31241.0,31365.0,9920.0,6609.0
2018-05-11,31380.0,31570.0,31363.0,31518.0,6914.0,6741.0
2018-05-14,31450.0,31579.0,31384.0,31504.0,6237.0,6612.0
2018-05-15,31450.0,31516.0,31161.0,31175.0,11816.0,5872.0
2018-05-16,31160.0,31160.0,30925.0,30997.0,8675.0,5721.0
2018-05-17,30976.0,30995.0,30851.0,30978.0,7907.0,4855.0
2018-05-18,30944.0,31110.0,30944.0,31091.0,6104.0,4593.0
2018-05-21,31040.0,31127.0,30912.0,31112.0,6770.0,4274.0
2018-05-22,31100.0,31160.0,30990.0,31108.0,6713.0,3936.0
2018-05-23,31125.0,31389.0,31095.0,31183.0,10467.0,4100.0
2018-05-24,31258.0,31510.0,31238.0,31474.0,8914.0,4748.0
2018-05-25,31370.0,31428.0,31165.0,31189.0,8555.0,4044.0
2018-05-28,31150.0,31150.0,30888.0,30963.0,7125.0,3282.0
2018-05-29,31050.0,31325.0,31025.0,31188.0,11195.0,2933.0
2018-05-30,31150.0,31150.0,30926.0,31035.0,8556.0,2442.0
2018-05-31,31066.0,31113.0,30785.0,30831.0,6309.0,1289.0
2018-06-01,30704.0,30777.0,30500.0,30546.0,1046.0,1053.0
2018-06-04,30700.0,30704.0,30540.0,30685.0,53.0,352.0
2018-06-05,30905.0,31084.0,30871.0,31046.0,6532.0,5284.0
2018-06-06,30981.0,31024.0,30840.0,30861.0,6266.0,5383.0
2018-06-07,30950.0,31216.0,30943.0,31193.0,8324.0,5726.0
2018-06-11,31186.0,31260.0,31075.0,31216.0,6219.0,6121.0
2018-06-12,31173.0,31208.0,31075.0,31156.0,6337.0,6133.0
2018-06-13,31141.0,31187.0,31107.0,31143.0,4004.0,6015.0
2018-06-14,31192.0,31418.0,31192.0,31377.0,8676.0,6946.0
